,osm_way_id,osm_start_node_id,osm_end_node_id
0,455778913,42856931,5924962521
112,627639479,5924962522,5924962521
155,380471663,2300353500,5212739096
732,380471663,3838008669,5212739096
1263,604880067,5487813168,5212739096
1448,141155765,42750747,42747630
1545,108298538,42855147,2883544414
1581,46620628,60922878,595757808
2261,553685358,42489091,42486694
2487,249968535,42486693,42486694
2500,553685358,42496752,42486694
2598,664893485,42435898,42435894
3063,204083301,42449139,42435894
3099,664893485,42435891,42435894
3521,442000556,4396956982,4202566035
3980,420318607,42854204,4202566035
4210,455231793,2885398041,42874200
4227,274472657,2581978899,42874200
4271,455231793,42874199,42874200
4276,464539373,2356694556,5391529451
4905,275139080,42862872,42862874
4944,5671456,42445054,42446797
4951,226007078,42455493,42446797
5306,5709269,42868816,5777684448
5307,610030211,5777684441,5777684448
5437,248295491,43013761,42983654
5443,46889362,42472565,42472568
5465,111811147,42505118,42472568
5542,222251962,42482834,42487406
6113,198924787,42825185,5487816673
6118,182594618,42803979,42881495
6271,5704916,42789589,280638665
6291,533922043,42762627,42762623
6292,533922043,42741923,42762623
6304,420351725,1919595922,4202899497
7043,420626388,4205865491,42436551
7784,5670459,42428045,42436551
7809,5680770,42524631,42505924
8517,5679111,42490377,42505924
8567,5680770,42509901,42505924
9280,469283196,1544953801,3557257053
9330,5698939,42733121,3557257053
9391,464135008,4504640617,3557257053
9400,177127299,42500009,42500011
9404,46863736,598050845,42500011
9405,582706057,42477837,42477839
9423,46888463,42515544,42477839
9600,582706057,42477842,42477839
9609,288723622,42879560,42870312
9616,198924636,2089938099,42870312
9693,198924820,2312718551,42870312
9694,198595510,42827837,42870312
10015,183103414,94440513,42945181
10722,222788001,5490452715,5490453436
10744,222788001,42991979,5490453436
10766,526336831,5118621254,42892567
11084,220432914,2875289637,42892567
11091,526336831,42892564,42892567
11458,220432914,42909510,42892567
11469,227064559,42506310,42480055
12101,578167731,42485164,42502339
12678,420627475,42967472,42945225
12800,420626692,4205883402,42945225
13343,5699609,42763237,42768232
13359,5699609,42767667,42768232
13369,420350072,42513977,4202884467
13841,420350064,4202884466,4202884467
14343,46594645,42756294,42735530
14364,278565113,2408379338,2408393013
14616,5695572,42719428,2408393013
14644,626739792,5916783969,593972687
15144,5704536,4209677279,42862527
15151,421150359,4209677278,42862527
15158,68665177,42980968,42980967
15163,68665177,42970726,42980967
15165,421852619,5721677302,42423020
15909,157014137,593886227,42423020
16653,46865610,42497249,42497251
16680,46865610,42494095,42497251
16740,208793269,42519466,42506080
