,osm_way_id,osm_start_node_id,osm_end_node_id
0,289489666,4604517960,5477534335
4,289489666,4702439312,5477534335
15,378390397,3818036294,3818036301
151,172706980,1835841972,3818036301
277,123889242,30234002,30234004
951,428085746,4272296012,3867897815
1027,428085740,288590986,3867897815
1058,428064414,1027864031,5451438525
1063,428064414,5451438523,5451438525
1067,160692479,1635675264,53160167
1068,428018023,4271720306,53114034
1070,94390532,2493102108,1077931381
1354,94390532,53252611,1077931381
1507,6453459,53206309,53206310
1514,6484929,3097820541,3547665878
1594,428070923,4272184888,53114386
1595,378984361,992724112,1746018592
1596,170778349,1819254190,1819254192
1632,427901470,4270665745,4270665744
2014,427901463,53171922,4270665744
2418,22953868,2941328143,5869112098
2433,22953869,53246076,5869112098
2457,43267071,320548627,543372938
2491,43267071,543372867,543372938
2498,428032801,4271832524,4271832523
2501,33972511,53156123,53156124
2655,33972511,53179296,53156124
2749,6454375,53107708,6127499733
2773,6454375,53192757,6127499733
3129,6398868,53147181,53147180
3130,6398868,53147179,53147180
3131,6437957,2749394849,53192439
3134,6437957,2749395015,53192439
3139,561680931,1836058818,53127300
3158,671498785,4313840736,6288174093
3171,620762185,4313840727,6288174093
3178,61015106,50697178,50798779
3181,428070314,4272179643,4272179644
3235,428070320,50761649,4272179644
3315,260545018,53202789,3618326371
3345,647959594,3473296247,3618326371
3394,486264936,464709990,53077837
3421,428085410,1597006685,53077837
3789,428085405,4272294374,53077837
4171,428255700,5469435236,6062341241
4172,428255700,6062341246,6062341241
4173,428065422,4272218339,387552346
4296,430778699,4300473015,4272168400
4352,340086093,4272201236,3518116566
4370,463139530,53206302,53094144
4371,6499885,4263867671,5529883923
4373,340226479,5388458721,3351282047
4421,340226479,5388458726,3351282047
4448,138204383,826483601,412125548
4450,6494668,5871917806,53227232
4900,6480423,5871917803,53227232
4921,6494668,53237968,53227232
5187,479818867,53181645,1835386087
5202,6426151,3899307503,1835386087
5211,206883227,779404326,53189615
5389,206883227,639359594,53189615
5621,6434798,53091444,53189615
5967,291409311,2948756962,2947304187
5993,291291487,50707357,2947304187
6022,297120562,6133079910,53108119
6024,53619961,53249819,677217990
6065,62153710,775428386,677217990
6068,428080699,50701509,5896100111
6107,123889284,4215221531,1736850705
6592,459073933,53079393,3443651832
6593,459073934,3443651839,3443651832
6609,258989233,50762430,50762415
6610,6363527,4271819669,4691899015
6612,6363527,4693235199,4691899015
6622,58472942,1820953914,1820953918
6633,58472942,490736004,1820953918
6682,621426664,30003764,1380011547
6871,4910875,30280285,1380011547
7123,484849334,1492987079,4001694710
7170,484849334,53213293,4001694710
7189,364428056,53214582,5448613261
7192,364428056,5448613253,5448613261
7230,329706562,2616935647,1370519862
7239,329706562,53211264,1370519862
7249,621283347,53070531,3996640442
7254,621283347,6185237395,3996640442
7280,290619883,50639466,5480286576
7302,290619883,5995349528,5480286576
7307,6358008,59712532,59712832
7308,6358008,53097843,59712832
7310,342661003,5431718694,4270653073
7358,199913383,4272052905,5468006108
7362,428276693,4271980495,4271980496
7371,256937298,2625578608,5467437964
7372,478657606,53248316,53109562
7379,621646801,53203300,53109562
7380,332495681,53212810,53209465
7457,428020840,5445720861,53209465
7479,6507809,53189935,5440514338
7480,6507809,53224252,5440514338
7481,71756351,5439753063,53171922
7493,427901463,4270665744,53171922
7874,6418109,53132093,53171922
7875,427901474,3712323493,53171922
8294,370785081,53128667,3624229985
